Date,expiryDate,Symbol,Type,CMP,strikePrice,Support,Dist_from_Support,Resistance,Dist_from_Resist,PCR,RSI,MACD,MACD_Signal,MACD_Hist,BB_HI,BB_MID,BB_LO,macro,sector,industry,basicIndustry,CMP_change,CMP_pct_change,CMP_trend,strikePrice_change,strikePrice_pct_change,strikePrice_trend,Support_change,Support_pct_change,Support_trend,Resistance_change,Resistance_pct_change,Resistance_trend,PCR_change,PCR_pct_change,PCR_trend
03-Oct-25,28-Oct-25,360ONE,Non-Hld,1047.1,1100,1029.45,1.72,1170.55,11.79,0.954863625,49.54,-9.88,-8.81,-1.07,1109.09,1052.01,994.93,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged
03-Oct-25,28-Oct-25,ABB,Holding,5190,5200,4950.15,4.85,5449.85,5.01,0.720359771,44.49,-8.37,3.14,-11.51,5450.37,5248.96,5047.55,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged
03-Oct-25,28-Oct-25,ABCAPITAL,Non-Hld,304.5,300,280.8,8.45,319.2,4.83,0.431057188,64.88,4.3,3.48,0.82,300.48,289.82,279.16,Financial Services,Financial Services,Finance,Investment Company,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged
03-Oct-25,28-Oct-25,ADANIENSOL,Non-Hld,927.75,1000,906.35,2.37,1093.65,17.89,0.520533627,66.14,24.94,20.94,4,951.07,853.91,756.75,Utilities,Power,Power,Power Distribution,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged
03-Oct-25,28-Oct-25,ADANIENT,Non-Hld,2586.1,2600,2448.7,5.62,2751.3,6.39,0.545450189,63.09,58.28,49.13,9.15,2705.33,2469.48,2233.62,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Minerals,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged
03-Oct-25,28-Oct-25,ADANIGREEN,Non-Hld,1072.5,1200,1058.5,1.33,1341.5,25.09,0.715222876,59.87,27.58,25.83,1.75,1144.59,1019.91,895.24,Utilities,Power,Power,Power Generation,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged
03-Oct-25,28-Oct-25,ADANIPORTS,Non-Hld,1419.9,1400,1337.1,6.2,1462.9,3.03,0.729020979,57.9,13.26,13.7,-0.44,1458.31,1401.08,1343.84,Services,Services,Transport Infrastructure,Port & Port services,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged
03-Oct-25,28-Oct-25,ALKEM,Non-Hld,5425,5500,5274.95,2.85,5725.05,5.54,0.897867738,54.02,48.84,67.57,-18.73,5594.76,5447.68,5300.59,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged
03-Oct-25,28-Oct-25,AMBER,Non-Hld,8205.5,8500,7930.35,3.47,9069.65,10.54,0.9870317,57.69,172.19,198.93,-26.74,8602.75,8119.9,7637.05,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged
03-Oct-25,28-Oct-25,AMBUJACEM,Non-Hld,575.6,600,567.5,1.43,632.5,9.89,0.729106628,50.33,-1.52,-1.46,-0.06,591.65,573.44,555.23,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged
03-Oct-25,28-Oct-25,ANGELONE,Non-Hld,2205,2200,2008.1,9.81,2391.9,8.48,0.741743529,40.66,-70.83,-77.86,7.03,2358.04,2232.68,2107.32,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged
03-Oct-25,28-Oct-25,APLAPOLLO,Non-Hld,1735,1700,1597.9,8.59,1802.1,3.87,0.706001136,64.19,15.86,13.13,2.73,1727.97,1692.26,1656.56,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,,,unchanged,,,unchanged,,,unchanged,,,unchanged,,,unchanged
